Y1,FORECAST,STD,L95,U95,RESIDUAL
174541,,,,,
147704,,,,,
168205,,,,,
188776,,,,,
190803,188776,35794.44181,118620.1832,258931.8168,2027
200566,190803,35794.44181,120647.1832,260958.8168,9763
235198,200668.4992,35748.64899,130602.4347,270734.5638,34529.50076
232255,235691.6853,35748.64899,165625.6208,305757.7498,-3436.685305
218443,234005.5283,35748.53153,163939.694,304071.3626,-15562.52828
221282,218268.7717,35748.53153,148202.9375,288334.606,3013.228259
184803,220493.0275,35748.53122,150427.1938,290558.8612,-35690.02755
222546,184955.7614,35748.53122,114889.9277,255021.5951,37590.23857
179273,220736.625,35748.53122,150670.7913,290802.4587,-41463.62504
191926,181178.7098,35748.53122,111112.8761,251244.5435,10747.29016
192579,189829.332,35739.46269,119781.2723,259877.3917,2749.667966
184907,193347.1597,35739.46269,123299.1,263395.2194,-8440.159672
203388,185919.4618,32035.11055,123131.7988,248707.1247,17468.53824
228045,207381.7138,32035.11055,144594.0509,270169.3768,20663.28616
254907,244315.8222,32027.00514,181544.0456,307087.5988,10591.17776
243154,254646.5732,32027.00514,191874.7966,317418.3498,-11492.57322
240947,237554.7985,32027.00514,174783.0219,300326.5751,3392.201487
229904,241625.6206,32027.00514,178853.844,304397.3972,-11721.62056
199861,213869.754,32027.00514,151097.9774,276641.5306,-14008.75397
227251,216034.5167,32027.00514,153262.7401,278806.2933,11216.48327
209093,207316.2653,32027.00514,144544.4887,270088.0419,1776.734671
207195,215282.8838,32027.00514,152511.1072,278054.6604,-8087.883797
207907,207575.1778,32027.00514,144803.4012,270346.9545,331.8221514
224704,204088.5938,32027.00514,141316.8172,266860.3704,20615.40618
209058,232931.2217,32027.00514,170159.4451,295702.9983,-23873.22167
245652,221057.2971,32027.00514,158285.5204,283829.0737,24594.70295
283524,256375.4569,32027.00514,193603.6803,319147.2336,27148.54306
258377,279549.469,32027.00514,216777.6924,342321.2456,-21172.46901
258440,258772.8625,32027.00514,196001.0858,321544.6391,-332.8624575
247565,252460.6395,32027.00514,189688.8629,315232.4161,-4895.639488
221603,234201.1725,32027.00514,171429.3959,296972.9492,-12598.17255
253591,233523.1323,32027.00514,170751.3557,296294.9089,20067.86769
253286,244885.4085,32027.00514,182113.6319,307657.1851,8400.591516
225993,253460.1708,32027.00514,190688.3942,316231.9474,-27467.17077
230957,226735.1985,32027.00514,163963.4219,289506.9751,4221.801483
225488,237026.7614,32027.00514,174254.9848,299798.538,-11538.76137
220700,218751.1148,32027.00514,155979.3382,281522.8914,1948.885175
244080,236372.3305,32027.00514,173600.5539,299144.1071,7707.669493
271512,261003.8792,32027.00514,198232.1026,323775.6558,10508.1208
254079,260730.9078,32027.00514,197959.1312,323502.6844,-6651.907835
257363,254639.718,32027.00514,191867.9414,317411.4946,2723.282013
255021,252194.4234,32027.00514,189422.6468,314966.2,2826.576629
242781,243625.1414,32027.00514,180853.3648,306396.9181,-844.1414394
268072,257135.34,32027.00514,194363.5634,319907.1166,10936.66
232935,267893.7048,32027.00514,205121.9282,330665.4814,-34958.70482
241868,221364.2223,32027.00514,158592.4457,284135.9989,20503.77772
252210,242301.0156,32027.00514,179529.239,305072.7922,9908.984379
242369,250819.8118,32027.00514,188048.0352,313591.5884,-8450.811771
247972,240744.2304,32027.00514,177972.4538,303516.007,7227.769591
275667,257930.4068,32027.00514,195158.6302,320702.1834,17736.59318
297878,288220.411,32027.00514,225448.6344,350992.1876,9657.58903
309219,291032.3778,32027.00514,228260.6012,353804.1544,18186.62222
305629,311167.5654,32027.00514,248395.7888,373939.342,-5538.565366
266562,305510.5452,32027.00514,242738.7686,368282.3218,-38948.54523
307276,260843.4493,32027.00514,198071.6727,323615.2259,46432.55071
